id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood_tags,instrumentalness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020,euphoric|city-night|upbeat,0.05,0.08
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,72,2020,study|chill|dreamy,0.62,0.04
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,81,2010,aggressive|adrenaline|dark,0.01,0.06
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,69,2020,nostalgic|rainy|calm,0.74,0.03
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,84,2020,aggressive|workout|hype,0.00,0.09
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,64,2010,cosmic|meditative|chill,0.85,0.02
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,58,2010,warm|laid-back|night,0.68,0.05
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,76,2010,retro|moody|driving,0.12,0.07
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,70,2020,focused|minimal|study,0.57,0.03
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,79,2010,upbeat|romantic|city,0.08,0.06
11,Moonlit Sonata,Velvet Chamber,classical,peaceful,0.19,64,0.52,0.21,0.97,55,1990,peaceful|cinematic|nostalgic,0.96,0.01
12,Iron Horizon,Black Forge,metal,aggressive,0.96,168,0.32,0.47,0.03,73,2010,aggressive|chaotic|dark,0.00,0.08
13,Dusty Highway,Maple Trail,country,warm,0.58,104,0.74,0.63,0.68,66,2000,warm|roadtrip|nostalgic,0.41,0.05
14,Island Glow,Solar Tide,reggae,uplifting,0.62,92,0.83,0.77,0.55,74,2000,sunny|uplifting|island,0.22,0.04
15,Street Cipher,Nova Lines,hip hop,confident,0.79,96,0.61,0.86,0.12,83,2020,confident|street|party,0.02,0.23
16,Velvet Hour,Ashlyn Rae,r&b,romantic,0.54,88,0.72,0.69,0.44,78,2010,sensual|smooth|late-night,0.06,0.18
17,Neon Festival,Pulse Harbor,edm,euphoric,0.94,128,0.88,0.91,0.06,90,2020,euphoric|festival|hype,0.00,0.04
18,Fireside Letters,Pine Hollow,folk,nostalgic,0.33,76,0.67,0.45,0.84,61,2000,nostalgic|acoustic|cozy,0.63,0.03
